10,10
32,54
10,98
32,142
10,186
32,230
10,274
32,318
10,362
32,406
10,450
32,494
10,538
32,582
10,626
32,670
10,714
32,758
10,802
32,846
10,890
32,934
10,978
32,1022
10,1066
32,1110
10,1154
32,1198
10,1242
32,1286
54,10
76,54
54,98
76,142
54,186
76,230
54,274
76,318
54,362
76,406
54,450
76,494
54,538
76,582
54,626
76,670
54,714
76,758
54,802
76,846
54,890
76,934
54,978
76,1022
54,1066
76,1110
54,1154
76,1198
54,1242
76,1286
98,10
120,54
98,98
120,142
98,186
120,230
98,274
120,318
98,362
120,406
98,450
120,494
98,538
120,582
98,626
120,670
98,714
120,758
98,802
120,846
98,890
120,934
98,978
120,1022
98,1066
120,1110
98,1154
120,1198
98,1242
120,1286
142,10
164,54
142,98
164,142
142,186
164,230
142,274
164,318
142,362
164,406
142,450
164,494
142,538
164,582
142,626
164,670
142,714
164,758
142,802
164,846
142,890
164,934
142,978
164,1022
142,1066
164,1110
142,1154
164,1198
142,1242
164,1286
186,10
208,54
186,98
208,142
186,186
208,230
186,274
208,318
186,362
208,406
186,450
208,494
186,538
208,582
186,626
208,670
186,714
208,758
186,802
208,846
186,890
208,934
186,978
208,1022
186,1066
208,1110
186,1154
208,1198
186,1242
208,1286
230,10
252,54
230,98
252,142
230,186
252,230
230,274
252,318
230,362
252,406
230,450
252,494
230,538
252,582
230,626
252,670
230,714
252,758
230,802
252,846
230,890
252,934
230,978
252,1022
230,1066
252,1110
230,1154
252,1198
230,1242
252,1286
274,10
296,54
274,98
296,142
274,186
296,230
274,274
296,318
274,362
296,406
274,450
296,494
274,538
296,582
274,626
296,670
274,714
296,758
274,802
296,846
274,890
296,934
274,978
296,1022
274,1066
296,1110
274,1154
296,1198
274,1242
296,1286
318,10
340,54
318,98
340,142
318,186
340,230
318,274
340,318
318,362
340,406
318,450
340,494
318,538
340,582
318,626
340,670
318,714
340,758
318,802
340,846
318,890
340,934
318,978
340,1022
318,1066
340,1110
318,1154
340,1198
318,1242
340,1286
362,10
384,54
362,98
384,142
362,186
384,230
362,274
384,318
362,362
384,406
362,450
384,494
362,538
384,582
362,626
384,670
362,714
384,758
362,802
384,846
362,890
384,934
362,978
384,1022
362,1066
384,1110
362,1154
384,1198
362,1242
384,1286
406,10
428,54
406,98
428,142
406,186
428,230
406,274
428,318
406,362
428,406
406,450
428,494
406,538
428,582
406,626
428,670
406,714
428,758
406,802
428,846
406,890
428,934
406,978
428,1022
406,1066
428,1110
406,1154
428,1198
406,1242
428,1286
450,10
472,54
450,98
472,142
450,186
472,230
450,274
472,318
450,362
472,406
450,450
472,494
450,538
472,582
450,626
472,670
450,714
472,758
450,802
472,846
450,890
472,934
450,978
472,1022
450,1066
472,1110
450,1154
472,1198
450,1242
472,1286
494,10
516,54
494,98
516,142
494,186
516,230
494,274
516,318
494,362
516,406
494,450
516,494
494,538
516,582
494,626
516,670
494,714
516,758
494,802
516,846
494,890
516,934
494,978
516,1022
494,1066
516,1110
494,1154
516,1198
494,1242
516,1286
538,10
560,54
538,98
560,142
538,186
560,230
538,274
560,318
538,362
560,406
538,450
